!!ObjTables schema='SBtab' type='Data' tableFormat='row' class='Reaction' name='Reaction' date='2020-07-18 12:20:25' objTablesVersion='1.0.5' document='MODEL1507180055',,,,,,,,,,,,,
!Name,!ID,!ReactionFormula,!IsComplete,!IsReversible,!IsInEquilibrium,!IsExchangeReaction,!IsNonEnzymatic,!BuildReaction,!BuildEnzyme,!BuildEnzymeProduction,!SBML:fbc:GeneAssociation,!SBML:fbc:LowerBound,!SBML:fbc:UpperBound
EX_bilglcur_e,R_EX_bilglcur_e,M_bilglcur_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_bilirub_e,R_EX_bilirub_e,M_bilirub_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_biocyt_e,R_EX_biocyt_e,M_biocyt_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_btn_e,R_EX_btn_e,M_btn_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_but_e,R_EX_but_e,M_but_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_bvite_e,R_EX_bvite_e,M_bvite_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_bz_e,R_EX_bz_e,M_bz_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_ca2_e,R_EX_ca2_e,M_ca2_e <=> ,False,True,False,False,False,False,False,False,,R_EX_ca2_e_lower_bound,cobra_default_ub
EX_camp_e,R_EX_camp_e,M_camp_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_caro_e,R_EX_caro_e,M_caro_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_carveol_e,R_EX_carveol_e,M_carveol_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_cca_d3_e,R_EX_cca_d3_e,M_cca_d3_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_cgly_e,R_EX_cgly_e,M_cgly_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_chol_e,R_EX_chol_e,M_chol_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_cholate_e,R_EX_cholate_e,M_cholate_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_chsterol_e,R_EX_chsterol_e,M_chsterol_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_chtn_e,R_EX_chtn_e,M_chtn_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_cit_e,R_EX_cit_e,M_cit_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_cl_e,R_EX_cl_e,M_cl_e <=> ,False,True,False,False,False,False,False,False,,R_EX_cl_e_lower_bound,cobra_default_ub
EX_cmp_e,R_EX_cmp_e,M_cmp_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_co_e,R_EX_co_e,M_co_e <=> ,False,True,False,False,False,False,False,False,,R_EX_co_e_lower_bound,cobra_default_ub
EX_co2_e,R_EX_co2_e,M_co2_e <=> ,False,True,False,False,False,False,False,False,,R_EX_co2_e_lower_bound,cobra_default_ub
EX_coumarin_e,R_EX_coumarin_e,M_coumarin_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_creat_e,R_EX_creat_e,M_creat_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_crmp_hs_e,R_EX_crmp_hs_e,M_crmp_hs_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_crn_e,R_EX_crn_e,M_crn_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_crtsl_e,R_EX_crtsl_e,M_crtsl_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_crtstrn_e,R_EX_crtstrn_e,M_crtstrn_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_crvnc_e,R_EX_crvnc_e,M_crvnc_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_csn_e,R_EX_csn_e,M_csn_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
