!!ObjTables schema='SBtab' type='Data' tableFormat='row' class='Gene' name='Gene' date='2020-07-18 12:20:25' objTablesVersion='1.0.5' document='MODEL1507180055',,,,,
!ID,!SBML:fbc:ID,!SBML:fbc:Name,!SBML:fbc:GeneProduct,!SBML:fbc:GeneAssociation,!SBML:fbc:Label
G_20525,G_20525,20525,True,False,20525
G_20526,G_20526,20526,True,False,20526
G_20527,G_20527,20527,True,False,20527
G_20528,G_20528,20528,True,False,20528
G_20531,G_20531,20531,True,False,20531
G_20532,G_20532,20532,True,False,20532
G_20533,G_20533,20533,True,False,20533
G_20535,G_20535,20535,True,False,20535
G_20536,G_20536,20536,True,False,20536
G_20537,G_20537,20537,True,False,20537
G_20538,G_20538,20538,True,False,20538
G_20539,G_20539,20539,True,False,20539
G_20540,G_20540,20540,True,False,20540
G_20541,G_20541,20541,True,False,20541
G_20544,G_20544,20544,True,False,20544
G_20603,G_20603,20603,True,False,20603
G_20652,G_20652,20652,True,False,20652
G_20655,G_20655,20655,True,False,20655
G_20656,G_20656,20656,True,False,20656
G_20657,G_20657,20657,True,False,20657
G_20751,G_20751,20751,True,False,20751
G_20768,G_20768,20768,True,False,20768
G_207728,G_207728,207728,True,False,207728
G_20773,G_20773,20773,True,False,20773
G_20775,G_20775,20775,True,False,20775
G_20810,G_20810,20810,True,False,20810
G_208211,G_208211,208211,True,False,208211
G_208266,G_208266,208266,True,False,208266
G_208285,G_208285,208285,True,False,208285
G_208449,G_208449,208449,True,False,208449
G_20859,G_20859,20859,True,False,20859
G_20860,G_20860,20860,True,False,20860
G_208624,G_208624,208624,True,False,208624
G_208665,G_208665,208665,True,False,208665
G_208715,G_208715,208715,True,False,208715
